Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
      ,,,,
 Arthritis,"Joint Pain, Swelling","e Joint Pain, Swelling",,
Allergic Reacti,"Itching, Redness",,,
Allergic Reaction,"Itching, Redness","e Itching, Redness",,
Allergic Reaction An,"Itching, Redness",,,
Anxiety Disorder,"Anxiety, Palpitations"," Anxiety, Palpitations","e Anxiety, Palpitations",
Arthritis,"Joint Pain, Fatigue","Joint Pain, Swelling",,
Arthritis     ,"Joint Pain, Fatigue",,,
Asthma,Shortness of breath,,,
COVID-19,"Cough, Shortness of breath","Cough, Shortness of breat","Cough, Shortness of brea","e Cough, Shortness of brea"
COVID-19      ,"Cough, Shortness of breath",,,
Chronic Bronchitis,Shortness of breath,,,
Chronic Fatigue,"Fatigue, Weakness","e Fatigue, Weakness",,
Chronic Fatigue Syndrome,"Fatigue, Weakness"," Fatigue, Weakness","e Fatigue, Weakness",
Common Cold,"Fever, Cough","Cough, Sneezing",,
Coronary Artery,"Chest Pain, Shortness of breath","Chest Pain, Shortness",,
Coronary Artery Disease,"Chest Pain, Shortness of breath",,,
Coronary Artery Disease   ,"Chest Pain, Shortnessof breath",,,
Coronary ArteryDisease,"Chest Pain, Shortness of breath",,,
Dermatitis,"Skin Rash, Itching"," Skin Rash, Itching",,
Dermatitis      ,"Skin Rash, Itching",,,
Disease,of breath,,,
Disease         ,"Fatigue, Difficulty breathing",,,
Gastritis,"Stomach Pain, Diarrhea",,,
Gastroenteritis,"Nausea, Vomiting","Stomach Pain, Diarrhea"," Nausea, Vomiting","e Nausea, Vomiting"
Heat Exhaustion,"Dizziness, Fatigue",,,
Heat Exhaustion Hydr,"Dizziness, Fatigue",,,
Herniated Disc,"Back Pain, Numbness"," Back Pain, Numbness","e Back Pain, Numbness",
Hypertension,"Chest Pain, Dizziness",,,
Indigestion,"Abdominal Pain, Bloating","Abdominal Pain, Bloating O",,
Indigestion     Anta,"Abdominal Pain, Bloating",,,
Infection,,,,
Influenza,"Fever, Muscle Aches",,,
Iron Deficiency,"Fatigue, Weakness",,,
Iron Deficiency ,"Fatigue, Weakness",,,
Major Depressive,"Fatigue, Sadness",,,
Major Depressive Disorder,"Fatigue, Sadness",,,
Menstrual Cramps,"Nausea, Cramps",,,
Menstrual Cramps Pai,"Nausea, Cramps",,,
Migraine,"Headache, Fatigue","Headache, Blurred Vision",,
Morning Sickness,"Nausea, Vomiting",,,
Motion Sickness,"Nausea, Dizziness",,,
Muscle Overuse,"Chest Pain, Shortness of breath","Chest Pain, Shortness",,
Muscle Strain,"Muscle Pain, Fatigue",,,
Muscle Strain  ,"Muscle Pain, Fatigue","Nausea, Vomiting","Headache, Blurred Vision",
Panic Disorder,"Anxiety, Rapid Heartbeat"," Anxiety, Rapid Heartbeat",,
Panic Disorder  ,"Anxiety, Rapid Heartbeat",,,
Pheumonia      ,"Fever, Chills",,,
Pneumonia,"Fever, Chills",,,
Respiratory,"Cough, Fever",,,
Respiratory     AntiInfection,"Cough, Fever",,,
Respiratory Infection,"Cough, Fever",,,
Respiratory infection,"Cough, Fever",,,
RespiratoryInfection,"Cough, Fever",,,
Rheumatoid Arthritis,"Joint Pain, Swelling",,,
Sciatica,"Back Pain, Numbness",,,
Sleep Apnea,Shortness of breath,,,
Sleep Apnea     ,Shortness of breath,,,
Strep Throat,Sore Throat,"Sore Throat, Cough",,
Strep Throat     ,"Sore Throat, Cough",,,
Syndrome,,,,
Tension Headache,"Headache, Sensitivity",,,
Tension Headache Rel,"Headache, Sensitivity",,,
Thyroid Disorder,"Fatigue, Difficulty breathing","Fatigue, Difficulty",,
Tonsillitis,"Fever, Sore Throat",,,
Vision Fatigue,"Headache, Blurred Vision",,,
is  Arthritis,"e Joint Pain, Swelling",,,
s  Arthritis,"Joint Pain, Fatigue",,,
